0.034919,-0.17453,-0.52355
-0.046405,0.06544,-0.52355
-0.060024,0.30541,-0.52355
-0.041778,0.54538,-0.52355
-0.00097901,0.78535,-0.52355
-0.008861,-0.17453,-0.26176
-0.054761,0.06544,-0.26176
-0.05529,0.30541,-0.26176
-0.095025,0.54538,-0.26176
-0.092051,0.78535,-0.26176
-0.098753,-0.17453,2.365e-05
-0.052109,0.06544,2.365e-05
-0.035431,0.30541,2.365e-05
-0.047925,0.54538,2.365e-05
-0.090152,0.78535,2.365e-05
-0.011132,-0.17453,0.26181
-0.055638,0.06544,0.26181
-0.057974,0.30541,0.26181
-0.087867,0.54538,0.26181
-0.12135,0.78535,0.26181
0.031381,-0.17453,0.5236
-0.062611,0.06544,0.5236
-0.062547,0.30541,0.5236
-0.03352,0.54538,0.5236
-0.027755,0.78535,0.5236
