,y,x1,x2,y_1,e_1,y_2,e_2,y_3,e_3,y_4,e_4,y_5,e_5,y_6,e_6
0,-0.059569,-0.0076709157765422,-6.990238563667469e-05,-0.06413424307550361,2.0841444338433695e-05,-0.06126710886821693,2.8835737283169917e-06,-0.06436400354923787,2.2992059037203765e-05,-0.06435442257278892,2.2900269200157772e-05,-0.06345610505306035,1.5109585693527303e-05,-0.062125275931572445,6.534546638336586e-06
1,-0.059569,-0.0041324446737616,-0.0002529641185375,-0.06404685821502407,2.0051214193858544e-05,-0.06090328346712488,1.7803123706428066e-06,-0.06395558699618738,1.9242145475120224e-05,-0.06384840585494045,1.831331447129862e-05,-0.06279870182646648,1.0430973887880918e-05,-0.061436270038427186,3.4866973964078767e-06
2,-0.059569,-0.0061010358471262,0.000909838225091,-0.06409501613108518,2.0484822018843245e-05,-0.061101532922396486,2.348657158229122e-06,-0.06416406405134446,2.111461363595822e-05,-0.06412527583236506,2.075964946059396e-05,-0.06315681554719596,1.2872420400701069e-05,-0.06181532087647662,5.045957480094706e-06
3,-0.059569,-0.0085821399693599,0.0020572044453589,-0.06415584898890746,2.103918364704139e-05,-0.06135384116449047,3.1856579824597048e-06,-0.06443239198484152,2.3652581598220762e-05,-0.06447548299533319,2.4073575383493795e-05,-0.06361132134003929,1.634036181613704e-05,-0.062297729354909945,7.44596389234726e-06
4,-0.059568,-0.0064507896624623,0.002524917752961,-0.06410296453914505,2.056590337130302e-05,-0.06113135776058391,2.444087487577937e-06,-0.06417531368723792,2.1227339412609826e-05,-0.0641679496451047,2.115953673749877e-05,-0.06321096699413573,1.3271208520362261e-05,-0.061878918427318255,5.340343977719064e-06
5,-0.059567,0.0082441391791046,0.0016847584163853,-0.06374009813159753,1.741474801594281e-05,-0.059658116488065134,8.302214397323374e-09,-0.06248758777878131,8.52983297356672e-06,-0.06206835185376611,6.256761096339131e-06,-0.060512434920794195,8.938471894571217e-07,-0.05909963799174304,2.1842724676198202e-07
6,-0.059567,0.0059141222206685,0.0017716312100879,-0.0637976539521255,1.789843286263509e-05,-0.05988675942608506,1.0224609057024625e-07,-0.06275485059170337,1.01623913950235e-05,-0.06240098333922879,8.031461567026358e-06,-0.06093587060441877,1.8738067316417985e-06,-0.05952844755453267,1.486291051511753e-09
7,-0.059566,-0.0110065053498242,0.0012835928826774,-0.06421610815232084,2.1623505828280767e-05,-0.06160982725834711,4.177229861962646e-06,-0.06472921778532352,2.6658817898681106e-05,-0.06482623471361366,2.7670069242306222e-05,-0.06406980194367973,2.028423194789328e-05,-0.06277910449479132,1.0324040494448186e-05
8,-0.059565,-0.0083154678830434,0.0020430792493637,-0.0641492634890884,2.1015471737389014e-05,-0.06132620858255533,3.1018556712665567e-06,-0.06440155403431758,2.3392254926873623e-05,-0.0644373479961012,2.3739774995111316e-05,-0.06356166857131901,1.597335966896912e-05,-0.06224535655755815,7.184311275644962e-06
9,-0.059563,-0.000462388323283,0.0016153580076835,-0.06395533579991401,1.9292613779206284e-05,-0.06052384902943016,9.232308573568794e-07,-0.06349597817201949,1.546831730158179e-05,-0.06331433812964953,1.4072537762962412e-05,-0.062106936621419334,6.4716135337984275e-06,-0.06072658114005709,1.3539210694965684e-06
10,-0.059562,0.0064676491743024,0.0018637156556551,-0.06378393215864893,1.782471115223403e-05,-0.05983187409697788,7.283202821962639e-08,-0.06268918464295294,9.7792837911207e-06,-0.062321392377033415,7.614246290430136e-06,-0.060834444389054,1.619114723235012e-06,-0.0594259531291177,1.8508751076864558e-08
11,-0.05956,-0.0033971916357746,0.0016342888702007,-0.06402787002661546,1.9961862574728818e-05,-0.06082166667089224,1.5918027884403056e-06,-0.06383644992110336,1.828802392770495e-05,-0.06373463003698676,1.7427535945712073e-05,-0.062649689834894,9.546183275847276e-06,-0.061289062333127906,2.9896565518417097e-06
12,-0.059559,0.011800037181143,0.0017373151215682,-0.06365218085999509,1.6754129552630152e-05,-0.05931231021852494,6.085584828421266e-08,-0.062077142241579904,6.341040348829058e-06,-0.06156043296188496,4.005733900919596e-06,-0.05986936157312645,9.632430607352547e-08,-0.05845431371018839,1.2203317988977464e-06
13,-0.059557,-0.0019749134903046,0.0015488948485448,-0.06399275103313011,1.9675887227914852e-05,-0.06067723044737301,1.254916255221542e-06,-0.06367277056351629,1.693956733150723e-05,-0.06353128410366225,1.5794934136622484e-05,-0.06238684282482315,8.008010413203084e-06,-0.06101580736183497,2.1281189189439083e-06
14,-0.059555,0.0006734402315964,0.0018685072877874,-0.0639271512015623,1.9115706129322656e-05,-0.06040846970485119,7.284105370987839e-07,-0.06335953948274743,1.447452067578412e-05,-0.06315049408155288,1.2927577690481789e-05,-0.061895943651490405,5.480017179453246e-06,-0.0605101638134607,9.123379105447936e-07
15,-0.059553,0.0030103144722521,0.0015618019759225,-0.06386952072581338,1.863235117637646e-05,-0.060175553809229045,3.875732453855914e-07,-0.06309454533069017,1.2542543329333344e-05,-0.06281740474692453,1.065633835174339e-05,-0.061468273317732525,3.6682718816181456e-06,-0.06007007819287839,2.6736985755038253e-07
16,-0.05955,0.0110551385570552,0.0014919572334939,-0.06367069910073919,1.6980161078832794e-05,-0.05938514027613121,2.717872855409292e-08,-0.0621674828104659,6.851216263084467e-06,-0.06166792036092772,4.485586655232206e-06,-0.060004912768612424,2.0694562704662215e-07,-0.05858887400602009,9.237631763038613e-07
17,-0.059548,0.0118746080988972,0.0018063698255185,-0.06365030782548686,1.6828929495050778e-05,-0.05930488271951069,5.910601207251609e-08,-0.062067248502271605,6.34661301619774e-06,-0.061549453703079945,4.005816925572439e-06,-0.059855569358299505,9.459891016477156e-08,-0.05844081538661913,1.2258577681073336e-06
18,-0.059545,-0.0082749402103509,0.0015294889869727,-0.0641484833066645,2.1192058554738762e-05,-0.061324024977720056,3.1649298713518414e-06,-0.06440616828604233,2.36309571052237e-05,-0.06443390218012482,2.3901364526829204e-05,-0.0635576706109347,1.610152543185907e-05,-0.06223895596530284,7.25739874299077e-06
19,-0.059542,-0.0052951836033089,0.0014627470607176,-0.06407485855281464,2.054680665982485e-05,-0.06101661132394833,2.1744785567166587e-06,-0.06406032513897453,2.0415262061489205e-05,-0.064007330004613,1.9939172050097205e-05,-0.06300317829093871,1.1979755161665429e-05,-0.06165691090348506,4.472848129680002e-06
20,-0.05954,0.0093092064174631,0.0016815766731159,-0.06371377319923029,1.7420382718613e-05,-0.05955412531805626,1.9952461019046698e-10,-0.06236489120334833,7.98001031075476e-06,-0.06191622855442511,5.64646214286522e-06,-0.060319375949179604,6.074268701596052e-07,-0.058905170989814744,4.030078721727955e-07
21,-0.059536,-0.0045977834116167,0.0014727046501766,-0.06405761593647694,2.0445010677002212e-05,-0.060945026638970806,1.9853560693293703e-06,-0.0639790072591434,1.9740313504801008e-05,-0.06390737230219379,1.910889580438703e-05,-0.06287353151100909,1.1139116586978645e-05,-0.061521565413663465,3.942470011936572e-06
22,-0.059533,0.01128776739831,0.0013407350315754,-0.06366501422910421,1.707354158951967e-05,-0.05936310783485916,2.8863347776243578e-08,-0.06214358566881934,6.815157534244914e-06,-0.06163547390292583,4.4203965124841514e-06,-0.059963800028984264,1.855886649728405e-07,-0.05854712401371727,9.719514603289519e-07
23,-0.05953,-0.0007715820437885,0.0015588341947165,-0.06396300282869537,1.965151407922113e-05,-0.06055529233443996,1.0512243710613406e-06,-0.0635328978122671,1.6023190895452785e-05,-0.06335888377849659,1.4660350989234337e-05,-0.062164371887115065,6.939915239622191e-06,-0.060785656437213544,1.5766730883158106e-06
24,-0.059527,0.0077688306337672,0.0014476225197777,-0.06375194910435492,1.7850194934389435e-05,-0.05970545854336906,3.1847451701408246e-08,-0.06254687178596355,9.11962560365869e-06,-0.06213741665646175,6.814275120332944e-06,-0.06060009870410148,1.1515408287442758e-06,-0.05918715217847227,1.1549654179714048e-07
25,-0.059523,0.0108289941434312,0.0014525515886757,-0.06367630593351715,1.724995017738881e-05,-0.05940717555734358,1.3415301516670081e-08,-0.062194247582635996,7.135563647738656e-06,-0.06170038536125111,4.741007011390624e-06,-0.06004592656801888,2.734521955400063e-07,-0.058629782712589965,7.97837122528141e-07
