u,v,w,C_m_up,a,b,V,std_u,std_v,std_w,std_C_m_up,a_true,time
150.8085604913522,-0.010541978721520505,-0.6586815892111639,0.3269596114874794,-0.00579568100765135,-6.990238563667469e-05,150.80999930390269,0.00015171020270380044,11.098715342993755,136.8198727871177,471.8545675664514,-0.007670915776542231,0.0
151.052468413798,-0.03830231359524228,10.457326186761055,-0.965914595137368,0.0023559653582108948,-0.00025296411853757564,151.41401966754447,8.586172790111204e-05,3.2086371187194125,9.382711712514219,0.06394628077156282,-0.0041324446737616245,0.01
150.8918842188227,0.13747839582693744,7.9654149135774786,-1.037904719462998,-0.001999092464029518,0.0009098382250910112,151.10204319667452,7.105385839204031e-05,1.4963570082294946,8.18894933934972,0.02581679059835626,-0.006101035847126247,0.02
150.92152476003156,0.31101444540229783,8.885038689380332,-1.0792521928747159,-0.0046603489644148535,0.0020572044453589992,151.18315805130584,6.780921868702644e-05,0.8628005800191667,7.167981693877357,0.012233999711686505,-0.008582139969359998,0.03
150.21680874933824,0.3185768666306005,20.132360110762427,-1.0238013907775942,0.0018708833155703772,0.002524917752961094,151.3042777655125,1.6495729187530805e-05,0.5608996109258026,2.59929480604839,0.011609818189133508,-0.006450789662462367,0.04
150.23031055196537,0.25518267655844973,19.30259294848576,-0.9644903054931202,0.004537661094287833,0.00168475841638531,151.46551231574358,1.4782043746459224e-05,0.3939478047048563,0.635123282105465,0.001955471385464712,0.008244139179104697,0.05
150.07760118403445,0.27049881479584376,13.820929711864189,-0.9590767671211138,0.0034115520346638738,0.0017716312100879799,150.6599720465011,1.4498677073574545e-05,0.2909387389621267,0.5615573498975228,0.0012757531681805519,0.00591412222066852,0.060000000000000005
150.07144183659287,0.19338475943236336,13.291254968625895,-0.9951827750089783,0.00042553293838512563,0.0012835928826774885,150.65899412663805,1.4446122302962158e-05,0.2236274483064728,0.4907180522248963,0.0008466607027042876,-0.011006505349824273,0.07
150.06069739267394,0.30810949656471415,14.976796694559386,-1.0157460268920526,-0.0015663439783703112,0.002043079249363731,150.80653922338854,1.4427503862474519e-05,0.1773042647858434,0.41060334646113394,0.0005550660524233121,-0.008315467883043466,0.08
149.9872339671813,0.24314402238399427,12.653974826829478,-1.0150591538936655,-0.0012674942550648255,0.001615358007683582,150.52027289033467,1.4312434271766416e-05,0.1439105937622975,0.3914621395366868,0.0004299330757807634,-0.0004623883232830661,0.09
149.9894068482952,0.2807617477630407,14.050394511226067,-1.001756113439918,-0.000164026859100135,0.0018637156556551514,150.64632282184974,1.4311635480450262e-05,0.11916874154423698,0.3612643978639959,0.0003264132468520729,0.0064676491743024395,0.09999999999999999
149.91301165778523,0.24584191352676932,12.428495620653116,-1.0066607851525489,-0.0005509505423970433,0.0016342888702007023,150.42752077294176,1.4193743703688486e-05,0.10025209129320674,0.3528552099657774,0.00026931912086878093,-0.0033971916357746147,0.10999999999999999
149.9243461710346,0.2615081720392986,13.424412008959646,-0.9900068165061192,0.0008924220866356341,0.001737315121568293,150.52439270447928,1.41814734674188e-05,0.08552323706708939,0.33866560017986763,0.00021983505182109365,0.011800037181143072,0.11999999999999998
149.9123325463031,0.23306564006912198,12.967038888806684,-0.9932541626656131,0.0005820492151278846,0.0015488948485448755,150.47227607301068,1.4144152046052922e-05,0.07380998888732869,0.33036554820073005,0.00018499410589914767,-0.0019749134903046498,0.12999999999999998
149.9129268608507,0.2811642412586883,12.99557873950739,-0.9930312697786693,0.0006025954555959567,0.001868507287787418,150.4754124768921,1.4114656913506692e-05,0.06434807455938113,0.32324789635146445,0.0001577189489544842,0.0006734402315964357,0.13999999999999999
149.84446015453014,0.23479799057245893,12.168719417967566,-0.9906553187440562,0.0007572106020514994,0.0015618019759225095,150.33793633480278,1.4006283495868187e-05,0.05658293804493248,0.3208424127732652,0.00013845179878001597,0.0030103144722521814,0.15
149.85704695170708,0.2244547829236903,13.265773532077635,-0.9805043637533402,0.0017213224582302616,0.001491957233493906,150.44323064998906,1.3999717960789473e-05,0.05015128041060736,0.313792036490855,0.00011983376577591965,0.011055138557055252,0.16
149.85082220848682,0.2718600661930375,13.97019476815588,-0.9706471165385754,0.0027286046415899894,0.0018063698255185955,150.50086101493042,1.3993958863830756e-05,0.04476065354993416,0.30343843654050007,0.00010326945157224698,0.01187460809889724,0.17
149.84847709915044,0.23011829911199372,13.487605450304287,-0.979516616913262,0.0018387195476461651,0.0015294889869727167,150.454426801497,1.3992654826626792e-05,0.04019218357767794,0.2973448581679411,9.073408921273024e-05,-0.008274940210350983,0.18000000000000002
149.82586135438396,0.22018898799970063,14.553493493457825,-0.9857830503548893,0.0013766594963969445,0.001462747060717629,150.53119738638975,1.3956048149944174e-05,0.03629272764380687,0.28576223215353774,7.882167516972824e-05,-0.005295183603308934,0.19000000000000003
149.82921941274833,0.25310484638928116,14.364722489006267,-0.9791427655916,0.001993572636877163,0.0016815766731159158,150.5164585820327,1.393643046673302e-05,0.032933769581645206,0.27699621236670263,6.933651102001703e-05,0.009309206417463125,0.20000000000000004
149.8294991823439,0.22166536552501784,14.356323629257574,-0.9838241475486623,0.0015452161915417437,0.0014727046501766781,150.5158861678568,1.3919626594846583e-05,0.030020437638235628,0.26941743099170407,6.147421184690455e-05,-0.004597783411616703,0.21000000000000005
149.80880813261632,0.2016490684951681,13.342384298494924,-0.9766319720594887,0.0020757439853953262,0.0013407350315754972,150.40192444006334,1.3911832704911329e-05,0.027473624884758924,0.2668587055035021,5.5706189123442443e-05,0.011287767398310099,0.22000000000000006
